Bill,Status
SB 248,Passed
SB 18,Passed
SB 144,Passed
SB 249,Passed
SB 82,Passed
SB 516,Passed
SB 317,Passed
SB 466,Passed
SJ 36,Passed
SB 88,Passed
SB 503,Passed
SB 560,Passed
SB 535,Passed
SB 211,Passed
SB 256,Passed
SB 402,Passed
SB 251,Passed
SB 194,Passed
SJ 37,Passed
SB 435,Passed
SB 375,Passed
SB 73,Passed
SB 17,Passed
SB 524,Passed
SB 464,Passed
SB 300,Passed
SB 191,Passed
SB 206,Passed
SJ 48,Passed
SB 147,Passed
SB 95,Passed
SB 170,Passed
SJ 49,Passed
SB 390,Passed
SB 86,Passed
SB 296,Passed
SB 468,Passed
SB 319,Passed
SB 378,Failed
SR 86,Failed
SB 135,Failed
SB 199,Failed
SR 38,Failed
SJ 29,Failed
SJ 31,Failed
SR 11,Failed
SB 62,Failed
SB 216,Failed
SB 334,Failed
SR 20,Failed
SR 27,Failed
SB 475,Failed
SR 50,Failed
SB 467,Failed
SR 10,Failed
SJ 30,Failed
SB 250,Failed
SB 372,Failed
SJ 41,Failed
SB 566,Failed
SB 367,Failed
SB 416,Failed
SJ 13,Failed
SR 33,Failed
SB 187,Failed
SB 180,Failed
SB 425,Failed
SB 354,Failed
SB 353,Failed
SJ 32,Failed
SR 12,Failed
SB 231,Failed
SB 465,Failed
SB 523,Failed
SB 50,Failed
SB 563,Failed
SR 36,Failed
SB 72,Failed
SB 513,Failed
SJ 34,Failed
SB 230,Failed
SR 46,Failed
SB 463,Failed
SB 554,Failed
SB 565,Failed
SB 331,Failed
SB 415,Failed
SB 522,Failed
SJ 50,Failed
SR 22,Failed
SB 384,Failed
SB 259,Failed
SR 68,Failed
SB 112,Failed
SB 140,Failed
SB 285,Failed
SB 155,Failed
SB 100,Failed
SB 469,Failed
SB 268,Failed
SB 125,Failed
SR 107,Failed
SB 382,Failed
SB 269,Failed
SB 229,Failed
